eventSindID,eventDescription,eventDescriptionUkranianLang,eventDescriptionEnglishLang,ISODate,latitude2,longitude2,categoryHealthFacilitiesDamagedDestroyed,Infrastructure: Hospital,Infrastructure: Health Transport,Infrastructure: Other,HealthWorkersAttack: Health Building,HealthWorkersAttack: No Information,HealthWorkersAttack: Everyday Activities,HealthWorkersAttack: Outside Health Facility,categoryHealthInfrastructure,categoryHealthWorkersAttacked,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Health Workers Killed,Health Workers Kidnapped,Health Workers Arrested,Health Workers Injured,Health Workers Assaulted,Perpetrator of Attack,Type of Perpetrator,Weapon Used,Weapon Delivery
31395,24 February 2022: Newborn babies were moved by nurses into a makeshift bomb shelter as Russian missiles struck the area.,24 лютого 2022 року: Медсестри перенесли новонароджених немовлят в імпровізоване бомбосховище через удар російських ракет поблизу.,"February 24, 2022: Nurses transferred newborn babies to a makeshift bomb shelter due to the impact of Russian missiles nearby.",2022-02-24 00:00:00,48.4680221,35.0417711,0,0,0,0,0,0,0,0,"{""hospital"":false,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,0,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]","[""Air-launched""]"
31843,24 February 2022: A field medic was killed amid an artillery attack. ,24 лютого 2022 року: Внаслідок обстрілу артилерією вбито польового медика.,"February 24, 2022: Field physician was killed by artillery.",2022-02-24 00:00:00,50.3115386,34.8868923,0,0,0,0,0,0,0,1,"{""hospital"":false,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":true}",0,0,1,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]","[""Ground-launched""]"
31548,"24 February 2022: A hospital and ambulance were damaged, six doctors were injured and four civilians were killed by a Russian ballistic missile.","24 лютого 2022 року: Військові РФ поцілили балістичними ракетами у будівлю закладу охорони здоров'я. Внаслідок атаки було пошкоджено лікарню та швидку, четверо медиків поранено та шестеро цивільних — вбито. ","February 24, 2022: The military was kissed by ballistic missiles in the building of the healthcare facility.The attack was damaged by the hospital and an ambulance, four doctors were injured and six civilians were killed.",2022-02-24 00:00:00,47.774810009,37.239439502,1,1,1,0,1,0,0,0,"{""hospital"":true,""healthTransport"":true,""other"":false}","{""healthBuilding"":true,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,1,0,0,0,6,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]","[""Ground-launched""]"
31465,25 February 2022: The vicinity of a children’s hospital was hit by Russian cluster munitions.,25 лютого 2022 року: Територію дитячої лікарні обстріляли касетними боєприпасами. ,"February 25, 2022: The territory of the children's hospital was fired at cassette ammunition.",2022-02-25 00:00:00,50.0485685173,36.1868687818,0,0,0,0,0,0,0,0,"{""hospital"":false,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,0,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]",[null]
33976,"25 February 2022: A centre for emergency medical care reported damaged doors and windows, looted medical equipment, medicines and medical products._x000D_","25 лютого 2022 року: З центру екстреної медичної допомогу було викрадено медине обладнання ліки та медичні вироби, було пошкоджено вікна та двері.","February 25, 2022: Medical equipment and medical products were stolen from the emergency medical care center, and windows and doors were damaged.",2022-02-25 00:00:00,50.5383196,30.22154008,1,1,0,0,0,0,0,0,"{""hospital"":true,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,1,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""No Information""]","[""Not Applicable""]"
34134,25 February 2022: A hospital was destroyed by a Russian missile attack. Patients were evacuated.,25 лютого 2022 року: Внаслідок російського ракетного обстрілу було зруйновано лікарню. Пацієнтів закладу евакуювали.,"February 25, 2022: A hospital was destroyed as a result of Russian rocket attack.Patients of the institution were evacuated.",2022-02-25 00:00:00,48.7382551483,39.2288732529,1,1,0,0,0,0,0,0,"{""hospital"":true,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",1,0,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]","[""Ground-launched""]"
31842,"25 February 2022: The city’s utilities were cut off from the rest of the country by Russian forces, therefore affecting the functioning of the health services in the city.","25 лютого 2022 року: Комунальні служби міста були відрізані російськими військами від решти країни, що вплинуло на надання медичних послуг у місті. ","February 25, 2022: The city utilities were cut off by Russian troops from the rest of the country, which influenced the provision of medical services in the city.",2022-02-25 00:00:00,50.90007875,34.8090407344,0,0,0,0,0,0,0,0,"{""hospital"":false,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,0,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Explosive""]","[""Ground-launched""]"
31411,25 February 2022: A psychiatric hospital was reportedly hit by Russian open fire.,25 лютого 2022 року: Війська РФ обстріляли будівлю психоневрологічного інтернату.,"February 25, 2022: Russian troops fired a building of a psychoneurological boarding school.",2022-02-25 00:00:00,51.4959368,31.285027,1,1,0,0,0,0,0,0,"{""hospital"":true,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,1,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Firearm""]","[""Not Applicable""]"
31840,25 February 2022: An INGO was forced to halt its health care activities and adapt its’ response to evolving conflict.,25 лютого 2022 року: Через агресію РФ неурядова організація в охороні здоров'я була змушена призупинити діяльність та перелаштувати роботу згідно нових потреб. ,"February 25, 2022: Due to the aggression of the Russian Federation, the non -governmental organization in health care was forced to suspend activities and translate work according to new needs.",2022-02-25 00:00:00,49.4871968,31.2718321,0,0,0,0,0,0,0,0,"{""hospital"":false,""healthTransport"":false,""other"":false}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",0,0,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""No Information""]","[""Not Applicable""]"
34148,February 2022: A primary care clinic was attacked. The dispensary and facade was damaged by gunfire.,Лютий 2022 року: Атаковано амбулаторію. Внаслідок обстрілу пошкоджено амбулаторію та фасад.,February 2022: Attached an outpatient clinic.The shelling damaged the outpatient clinic and facade.,2022-02-25 00:00:00,49.9375700368,36.4847373991,1,0,0,1,0,0,0,0,"{""hospital"":false,""healthTransport"":false,""other"":true}","{""healthBuilding"":false,""noInformation"":false,""everydayActivities"":false,""outsideHealthFacility"":false}",1,1,0,0,0,0,0,"[""Armed Forces of the Russian Federation""]","[""State Military""]","[""Combination""]",[null]
